fromstopname,route_name,Count of total passengers
Palasia Badwani Plaza,E-3,69
Palasia Badwani Plaza,R-9,349
Palda Naka,C-4(M-34),51
Palda Naka,M-22,126
Palda Naka,M-22 A,188
Palda Naka,M-23,14
Palda Naka,R-17,72
Palsikar Colony,M-11,54
Palsikar Colony,M-35,57
Palsikar Colony,R-5,294
Palsikar School Or Jabran Colony,E-4,67
Panch Sheel,E-1,29
Panch Sheel,M-24B,26
Panch Sheel,M-37,1
Panchwati,M-17,41
Panchwati,M-26,66
Panchwati,N-5,105
Panchwati,R-4,54
Pandrinath,M-20,16
Pandrinath,M-20A,9
Pandrinath,M-35,36
Pandrinath,M-6,31
Pandrinath,R-4,7
Pandrinath,R-9,9
Paraspar Nagar,R-4,9
Pardeshipura,M-11,39
Pardeshipura,M-17,97
Pardeshipura,M-26,15
Pardeshipura,M-26A,1
Pardeshipura,M-35,364
Pardeshipura,R-4,158
Pardesipura Police Station,M-35,8
Parmanu Nagar,M-20,7
Patel Bridge,C2-(16),248
